id,name,price,unit,quantity,description
1,Xúc xích,45000.0,Cây,793,Xúc xích thơm ngon
2,Nachos,60000.0,Khay,851,Nachos thơm ngon
3,Kem,40000.0,Ly,451,Kem thơm ngon
4,Nước ngọt Vừa,48000.0,Ly,793,Nước ngọt Vừa thơm ngon
5,Nachos Đặc biệt,60000.0,Khay,829,Nachos Đặc biệt thơm ngon
6,Kẹo,25000.0,Gói,677,Kẹo thơm ngon
7,Combo,126700.0,Phần,407,Combo thơm ngon
8,Xúc xích XXL,67500.0,Cây,368,Xúc xích XXL thơm ngon
9,Kem XXL,60000.0,Ly,460,Kem XXL thơm ngon
10,Combo Đặc biệt,128700.0,Phần,929,Combo Đặc biệt thơm ngon
