id,name,type,description,quantity,discountValue,startDate,endDate
1,Giảm 30K Member,Fixed,Nhưng được cách từ cũng của là sau lớn một trong tôi.,186,30000,2025-04-30,2025-07-14
2,Giảm 20K Partner,Fixed,Để với là để có tại.,853,20000,2025-04-29,2025-10-10
3,Giảm 10% Student,Percentage,Giống làm bên từng tôi gần thế vậy khiến hoặc từng từ số.,496,10,2025-04-09,2025-06-01
4,Giảm 100K Event,Fixed,Vậy theo lớn để giống từ và tại làm đi gần hoặc.,785,100000,2025-04-29,2025-08-30
5,Giảm 30K Event,Fixed,Nếu lớn gần nhiều sẽ thế rất lớn để.,507,30000,2025-03-08,2025-07-25
6,Giảm 25% Weekend,Percentage,Từ trong từ người hơn có cách vẫn của cũng như.,234,25,2025-03-19,2025-05-15
7,Giảm 30K Event #1,Fixed,Mỗi chưa giống hoặc đã vài.,846,30000,2025-05-13,2025-07-19
8,Giảm 100K Partner,Fixed,Nếu gần khi cách nơi từ với của của cách.,61,100000,2025-03-30,2025-07-13
9,Giảm 5% Weekend,Percentage,Gần cho mỗi của điều với để đi chưa trong.,946,5,2025-05-02,2025-08-04
10,Giảm 25% Weekend #1,Percentage,Đó với tại cho đến đúng vì nào chỉ.,90,25,2025-05-20,2025-11-16
11,Giảm 100K Event #1,Fixed,Từng từ cho mà chỉ từ chưa như trong.,207,100000,2025-04-08,2025-05-11
12,Giảm 50% Student,Percentage,Một nhưng cho nhưng vài của rất về như của.,316,50,2025-03-11,2025-08-22
13,Giảm 30K Member #1,Fixed,Các một để có sẽ chỉ từng cách gần với với trong.,630,30000,2025-05-16,2025-11-11
14,Giảm 25% Weekend #2,Percentage,Các sau cách hoặc từ không cũng bên khiến chỉ.,454,25,2025-04-09,2025-09-21
15,Giảm 20% Weekend,Percentage,Để và từ được một chưa cách có nhưng.,739,20,2025-04-24,2025-10-06
16,Giảm 10% Weekend,Percentage,Nếu hơn có nhưng gần tôi nhiều cũng đi tại sau về với.,124,10,2025-05-28,2025-08-31
17,Giảm 50K Member,Fixed,Cho người mỗi trong theo hơn vậy để điều điều người đi.,884,50000,2025-03-09,2025-07-16
18,Giảm 100K Partner #1,Fixed,Tại từng sau hơn từng đi để hơn số cho nào cái vậy.,651,100000,2025-05-09,2025-08-31
19,Giảm 100K Member,Fixed,Dưới tôi nơi trong cái sau.,857,100000,2025-03-17,2025-06-22
20,Giảm 20% Student,Percentage,Có giống khi đến cách của của tại của.,425,20,2025-05-17,2025-08-01
